index	file_name	title	composer	year
8	dataset/xml/26-2.xml	26-2	John Coltrane	1960.0
9	dataset/xml/9.20 Special.xml	9.20 Special	Earl Warren	1941.0
10	dataset/xml/A Beautiful Friendship.xml	A Beautiful Friendship	Donald Kahn	
11	dataset/xml/A Certain Smile.xml	A Certain Smile	Fain-Webster	
12	dataset/xml/A Felicidade.xml	A Felicidade	Antonio-Carlos Jobim	1958.0
13	dataset/xml/A Foggy Day.xml	A Foggy Day	George Gershwin	1937.0
14	dataset/xml/A Kiss To Build A Dream On.xml	A Kiss To Build A Dream On	Kalmar-Ruby-Hammerstein	1935.0
15	dataset/xml/A Little Tear.xml	A Little Tear	Deodato-Valle	
16	dataset/xml/A Smooth One.xml	A Smooth One	Benny Goodman	
17	dataset/xml/A Sound For Sore Ears.xml	A Sound For Sore Ears	Jimmy Heath	
18	dataset/xml/A Time For Love.xml	A Time For Love	Johnny Mandel	1966.0
19	dataset/xml/A Tisket A Tasket.xml	A Tisket A Tasket	Traditional	
20	dataset/xml/Across The Alley From The Alamo.xml	Across The Alley From The Alamo	Joe Greene	1946.0
21	dataset/xml/African Queen, The.xml	African Queen, The	Horace Silver	1965.0
22	dataset/xml/Afro Centric.xml	Afro Centric	Joe Henderson	
0	dataset/xml/After You.xml	After You	Cole Porter	1932.0
23	dataset/xml/Again.xml	Again	Lionel Newman	
24	dataset/xml/Ahmid-6.xml	Ahmid-6	Pat Metheny	
25	dataset/xml/Ain't She Sweet.xml	Ain't She Sweet	Milton Ager	1927.0
26	dataset/xml/Alexander's Ragtime Band.xml	Alexander's Ragtime Band	Irving Berlin	1911.0
27	dataset/xml/All About Ronnie.xml	All About Ronnie	Joe Greene	
28	dataset/xml/All Chords.xml	All Chords	Unknown Composer	
29	dataset/xml/All God's Chillun Got Rhythm.xml	All God's Chillun Got Rhythm	Kahn-Kaper	1937.0
30	dataset/xml/All Through The Day.xml	All Through The Day	Kern-Hammerstein	1946.0
31	dataset/xml/All Through The Night.xml	All Through The Night	Cole Porter	1934.0
32	dataset/xml/All Too Soon.xml	All Too Soon	Duke Ellington	1940.0
