id,title,old_filename,file_name,volume,year
187750,'Deed I Do,187750.pdf,'Deed I Do.pdf,Vol3,1926
704250,'Round Midnight,704250.pdf,'Round Midnight.pdf,Vol1,1944
809600,'Tain't What You Do (It's The Way That Cha Do It),809600.pdf,'Tain't What You Do It's The Way That Cha Do It.pdf,Vol2,1939
248610,500 Miles High,248610.pdf,500 Miles High.pdf,Vol1,1978
55345,502 Blues,055345.pdf,502 Blues.pdf,Vol1,1962
956282,52nd Street Theme,956282.pdf,52nd Street Theme.pdf,Vol2,1944
13024,A Ballad,013024.pdf,A Ballad.pdf,Vol2,1956
84850,A Blossom Fell,084850.pdf,A Blossom Fell.pdf,Vol3,1954
981733,A Child Is Born,981733.pdf,A Child Is Born.pdf,Vol1,1969
166320,A Cottage For Sale,166320.pdf,A Cottage For Sale.pdf,Vol3,1930
208580,A Dreamer's Holiday,208580.pdf,A Dreamer's Holiday.pdf,Vol3,1949
246240,A Fine Romance,246240.pdf,A Fine Romance.pdf,Vol1,1936
5353,A Flower Is A Lovesome Thing,005353.pdf,A Flower Is A Lovesome Thing.pdf,Vol2,1941
288040,A Good Man Is Hard To Find,288040.pdf,A Good Man Is Hard To Find.pdf,Vol3,0
502170,A Lovely Way To Spend An Evening,502170.pdf,A Lovely Way To Spend An Evening.pdf,Vol2,1943
512810,A Man And A Woman (Un Homme Et Une Femme),512810.pdf,A Man And A Woman Un Homme Et Une Femme.pdf,Vol1,1966
587100,A Night In Tunisia,587100.pdf,A Night In Tunisia.pdf,Vol1,1944
588900,A Nightingale Sang In Berkeley Square,588900.pdf,A Nightingale Sang In Berkeley Square.pdf,Vol3,1940
980604,A Portrait Of Jenny,980604.pdf,A Portrait Of Jenny.pdf,Vol2,1948
669560,A Pretty Girl Is Like A Melody,669560.pdf,A Pretty Girl Is Like A Melody.pdf,Vol3,1919
746300,A Sleepin' Bee,746300.pdf,A Sleepin' Bee.pdf,Vol3,1954
