id	file_name	composer	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality
0	dataset/jazz1350/26-2.xml	John Coltrane	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	26-2	dataset/jazz1350/26-2.xml	1960.0	jazz1350	26-2 [jazz1350]	F	major	4.0	4.0	-1.0	1960.0	AABA	4/4	F major
1	dataset/jazz1350/500 Miles High.xml	Chick Corea	Bossa Nova	{'1': 'A'}	26.0	1.0	500 Miles High	dataset/jazz1350/500 Miles High.xml	1978.0	jazz1350	500 Miles High [jazz1350]	E	minor	4.0	4.0	1.0	1978.0	A	4/4	E minor
2	dataset/jazz1350/502 Blues.xml	Jimmy Rowles	Waltz	{'1': 'A', '17': 'A'}	32.0	2.0	502 Blues	dataset/jazz1350/502 Blues.xml	1962.0	jazz1350	502 Blues [jazz1350]	A	minor	3.0	4.0	0.0	1962.0	AA	3/4	A minor
3	dataset/jazz1350/52nd Street Theme.xml	Thelonious Monk	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	52nd Street Theme	dataset/jazz1350/52nd Street Theme.xml	1944.0	jazz1350	52nd Street Theme [jazz1350]	C	major	4.0	4.0	0.0	1944.0	AABA	4/4	C major
4	dataset/jazz1350/9.20 Special.xml	Earl Warren	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	9.20 Special	dataset/jazz1350/9.20 Special.xml	1941.0	jazz1350	9.20 Special [jazz1350]	C	major	4.0	4.0	0.0	1941.0	AABA	4/4	C major
5	dataset/jazz1350/A Ballad.xml	Gerry Mulligan	Slow Swing	{'1': 'A', '12': 'A', '24': 'B', '32': 'A'}	43.0	3.0	A Ballad	dataset/jazz1350/A Ballad.xml	1956.0	jazz1350	A Ballad [jazz1350]	C	major	4.0	4.0	0.0	1956.0	AABA	4/4	C major
6	dataset/jazz1350/A Beautiful Friendship.xml	Donald Kahn	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Beautiful Friendship	dataset/jazz1350/A Beautiful Friendship.xml		jazz1350	A Beautiful Friendship [jazz1350]	C	major	4.0	4.0	0.0		AABA	4/4	C major
7	dataset/jazz1350/A Blossom Fell.xml	Barnes-Cornelius	Ballad	{'1': 'A', '9': 'B'}	20.0	4.0	A Blossom Fell	dataset/jazz1350/A Blossom Fell.xml	1954.0	jazz1350	A Blossom Fell [jazz1350]	Bb	major	4.0	4.0	-2.0	1954.0	AB	4/4	Bb major
8	dataset/jazz1350/A Certain Smile.xml	Fain-Webster	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	3.0	A Certain Smile	dataset/jazz1350/A Certain Smile.xml		jazz1350	A Certain Smile [jazz1350]	F	major	4.0	4.0	-1.0		ABAC	4/4	F major
9	dataset/jazz1350/A Child Is Born.xml	Thad Jones	Waltz	{'1': 'A', '17': 'B'}	30.0	1.0	A Child Is Born	dataset/jazz1350/A Child Is Born.xml	1969.0	jazz1350	A Child Is Born [jazz1350]	Bb	major	3.0	4.0	-2.0	1969.0	AB	3/4	Bb major
