id	file_name	title	composer	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link
0	dataset/jazz1350/26-2.xml	26-2	John Coltrane	eb51f0dd-c9a6-3849-b135-9cfaa7a90396	['John Coltrane']	[]	Song				
1	dataset/jazz1350/500 Miles High.xml	500 Miles High	Chick Corea	1e03810a-6632-35ee-959b-dfd244be19b5	['Chick Corea']	['Neville Potter']	Song				
2	dataset/jazz1350/502 Blues.xml	502 Blues	Jimmy Rowles	cff33fd3-7be2-3559-b06a-1d5cee201939	['Jimmy Rowles']	[]					
3	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	Thelonious Monk	aaa19faf-298a-3e89-9599-6a30866cd7fd	['Thelonious Monk']	[]	Song				
4	dataset/jazz1350/9.20 Special.xml	9.20 Special	Earl Warren	67755649-b89e-409c-ad6b-488f4cd455a5	['Earle Warren', 'Jack Palmer', 'William Engvick']	['William Engvick']	Song	Q16824165	1941 song		https://en.wikipedia.org/wiki/9:20_Special
5	dataset/jazz1350/A Ballad.xml	A Ballad	Gerry Mulligan	416b488c-31fc-4440-8c10-e248a25ff90c	['Gerry Mulligan']	[]	Song				
6	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	Donald Kahn	717389db-318b-3807-9257-6d13190d90dd	['Donald Kahn']	['Stanley Styne']	Song				
7	dataset/jazz1350/A Blossom Fell.xml	A Blossom Fell	Barnes-Cornelius	f869a3b0-fb58-342e-9f23-ac68663d4584	['Dominic John', 'Harold Cornelius', 'Howard Barnes']	[]					
8	dataset/jazz1350/A Certain Smile.xml	A Certain Smile	Fain-Webster	432bb07e-afe6-46f0-9edf-7ea60e8854ad	['Sammy Fain']	['Paul Francis Webster']	Song	Q4655791	1958 song performed by Johnny Mathis		https://en.wikipedia.org/wiki/A_Certain_Smile_(song)
9	dataset/jazz1350/A Child Is Born.xml	A Child Is Born	Thad Jones	11529313-8411-4c12-849e-b75881232d5e	['Thad Jones']	['Alec Wilder']	Song	Q19571261	cantar espublizáu en 1969		https://en.wikipedia.org/wiki/A_Child_Is_Born_(jazz_standard)
10	dataset/jazz1350/A Felicidade.xml	A Felicidade	Antonio Carlos Jobim	cd057a9a-d314-3199-bd7b-9e63f31f8083	['Antônio Carlos Jobim', 'Vinicius de Moraes']	['Vinicius de Moraes']	Song	Q30326624	"original film song composed by Antônio Carlos Jobim, lyrics by Vinícius de Moraes; from the 1959 film ""Black Orpheus"""	mc0002474962	https://en.wikipedia.org/wiki/A_felicidade
11	dataset/jazz1350/A Fine Romance.xml	A Fine Romance	Jerome Kern	609a42a8-24fb-3bfd-a815-e333e7f7f4f4	['Jerome Kern']	['Dorothy Fields']	Song	Q4656767	"original song composed by Jerome Kern, lyrics by Dorothy Fields; from the 1936 film ""Swing Time"""	mc0002453528	https://en.wikipedia.org/wiki/A_Fine_Romance_(song)
12	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	A Flower Is A Lovesome Thing	Billy Strayhorn	3ba23cab-2bc8-359e-a846-14d63b1919c2	['Billy Strayhorn']	[]	Song				
13	dataset/jazz1350/A Foggy Day.xml	A Foggy Day	George Gershwin	f2d4ab2e-9ea6-338f-8343-f0c557d4cb6b	['George Gershwin']	['Ira Gershwin']	Song	Q300410	"original song written and composed by George and Ira Gershwin; from the 1937 film ""A Damsel in Distress"""	mc0002450407	https://en.wikipedia.org/wiki/A_Foggy_Day
