id	file_name	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality	id	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link	composer
0	dataset/jazz1350/26-2.xml	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	26-2	dataset/jazz1350/26-2.xml	1960.0	jazz1350	26-2 [jazz1350]	F	major	4.0	4.0	-1.0	1960.0	AABA	4/4	F major	0	eb51f0dd-c9a6-3849-b135-9cfaa7a90396	['John Coltrane']	[]	Song					John Coltrane
1	dataset/jazz1350/500 Miles High.xml	Bossa Nova	{'1': 'A'}	26.0	1.0	500 Miles High	dataset/jazz1350/500 Miles High.xml	1978.0	jazz1350	500 Miles High [jazz1350]	E	minor	4.0	4.0	1.0	1978.0	A	4/4	E minor	1	1e03810a-6632-35ee-959b-dfd244be19b5	['Chick Corea']	['Neville Potter']	Song					Chick Corea
2	dataset/jazz1350/502 Blues.xml	Waltz	{'1': 'A', '17': 'A'}	32.0	2.0	502 Blues	dataset/jazz1350/502 Blues.xml	1962.0	jazz1350	502 Blues [jazz1350]	A	minor	3.0	4.0	0.0	1962.0	AA	3/4	A minor	2	cff33fd3-7be2-3559-b06a-1d5cee201939	['Jimmy Rowles']	[]						Jimmy Rowles
3	dataset/jazz1350/52nd Street Theme.xml	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	52nd Street Theme	dataset/jazz1350/52nd Street Theme.xml	1944.0	jazz1350	52nd Street Theme [jazz1350]	C	major	4.0	4.0	0.0	1944.0	AABA	4/4	C major	3	aaa19faf-298a-3e89-9599-6a30866cd7fd	['Thelonious Monk']	[]	Song					Thelonious Monk
4	dataset/jazz1350/9.20 Special.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	9.20 Special	dataset/jazz1350/9.20 Special.xml	1941.0	jazz1350	9.20 Special [jazz1350]	C	major	4.0	4.0	0.0	1941.0	AABA	4/4	C major	4	67755649-b89e-409c-ad6b-488f4cd455a5	['Earle Warren', 'Jack Palmer', 'William Engvick']	['William Engvick']	Song	Q16824165	1941 song		https://en.wikipedia.org/wiki/9:20_Special	Earle Warren
4	dataset/jazz1350/9.20 Special.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	9.20 Special	dataset/jazz1350/9.20 Special.xml	1941.0	jazz1350	9.20 Special [jazz1350]	C	major	4.0	4.0	0.0	1941.0	AABA	4/4	C major	4	67755649-b89e-409c-ad6b-488f4cd455a5	['Earle Warren', 'Jack Palmer', 'William Engvick']	['William Engvick']	Song	Q16824165	1941 song		https://en.wikipedia.org/wiki/9:20_Special	Jack Palmer
4	dataset/jazz1350/9.20 Special.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	9.20 Special	dataset/jazz1350/9.20 Special.xml	1941.0	jazz1350	9.20 Special [jazz1350]	C	major	4.0	4.0	0.0	1941.0	AABA	4/4	C major	4	67755649-b89e-409c-ad6b-488f4cd455a5	['Earle Warren', 'Jack Palmer', 'William Engvick']	['William Engvick']	Song	Q16824165	1941 song		https://en.wikipedia.org/wiki/9:20_Special	William Engvick
5	dataset/jazz1350/A Ballad.xml	Slow Swing	{'1': 'A', '12': 'A', '24': 'B', '32': 'A'}	43.0	3.0	A Ballad	dataset/jazz1350/A Ballad.xml	1956.0	jazz1350	A Ballad [jazz1350]	C	major	4.0	4.0	0.0	1956.0	AABA	4/4	C major	5	416b488c-31fc-4440-8c10-e248a25ff90c	['Gerry Mulligan']	[]	Song					Gerry Mulligan
6	dataset/jazz1350/A Beautiful Friendship.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Beautiful Friendship	dataset/jazz1350/A Beautiful Friendship.xml		jazz1350	A Beautiful Friendship [jazz1350]	C	major	4.0	4.0	0.0		AABA	4/4	C major	6	717389db-318b-3807-9257-6d13190d90dd	['Donald Kahn']	['Stanley Styne']	Song					Donald Kahn
7	dataset/jazz1350/A Blossom Fell.xml	Ballad	{'1': 'A', '9': 'B'}	20.0	4.0	A Blossom Fell	dataset/jazz1350/A Blossom Fell.xml	1954.0	jazz1350	A Blossom Fell [jazz1350]	Bb	major	4.0	4.0	-2.0	1954.0	AB	4/4	Bb major	7	f869a3b0-fb58-342e-9f23-ac68663d4584	['Dominic John', 'Harold Cornelius', 'Howard Barnes']	[]						Dominic John
7	dataset/jazz1350/A Blossom Fell.xml	Ballad	{'1': 'A', '9': 'B'}	20.0	4.0	A Blossom Fell	dataset/jazz1350/A Blossom Fell.xml	1954.0	jazz1350	A Blossom Fell [jazz1350]	Bb	major	4.0	4.0	-2.0	1954.0	AB	4/4	Bb major	7	f869a3b0-fb58-342e-9f23-ac68663d4584	['Dominic John', 'Harold Cornelius', 'Howard Barnes']	[]						Harold Cornelius
7	dataset/jazz1350/A Blossom Fell.xml	Ballad	{'1': 'A', '9': 'B'}	20.0	4.0	A Blossom Fell	dataset/jazz1350/A Blossom Fell.xml	1954.0	jazz1350	A Blossom Fell [jazz1350]	Bb	major	4.0	4.0	-2.0	1954.0	AB	4/4	Bb major	7	f869a3b0-fb58-342e-9f23-ac68663d4584	['Dominic John', 'Harold Cornelius', 'Howard Barnes']	[]						Howard Barnes
8	dataset/jazz1350/A Certain Smile.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	3.0	A Certain Smile	dataset/jazz1350/A Certain Smile.xml		jazz1350	A Certain Smile [jazz1350]	F	major	4.0	4.0	-1.0		ABAC	4/4	F major	8	432bb07e-afe6-46f0-9edf-7ea60e8854ad	['Sammy Fain']	['Paul Francis Webster']	Song	Q4655791	1958 song performed by Johnny Mathis		https://en.wikipedia.org/wiki/A_Certain_Smile_(song)	Sammy Fain
9	dataset/jazz1350/A Child Is Born.xml	Waltz	{'1': 'A', '17': 'B'}	30.0	1.0	A Child Is Born	dataset/jazz1350/A Child Is Born.xml	1969.0	jazz1350	A Child Is Born [jazz1350]	Bb	major	3.0	4.0	-2.0	1969.0	AB	3/4	Bb major	9	11529313-8411-4c12-849e-b75881232d5e	['Thad Jones']	['Alec Wilder']	Song	Q19571261	cantar espublizáu en 1969		https://en.wikipedia.org/wiki/A_Child_Is_Born_(jazz_standard)	Thad Jones
