id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
0	dataset/jazz1350/26-2.xml	26-2	26-2 [jazz1350]	jazz1350	John Coltrane	1960.0	1960.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Up Swing	eb51f0dd-c9a6-3849-b135-9cfaa7a90396					
1	dataset/jazz1350/500 Miles High.xml	500 Miles High	500 Miles High [jazz1350]	jazz1350	Chick Corea	1978.0	1978.0	E minor	E	minor	A	26.0	4/4	1.0	Bossa Nova	1e03810a-6632-35ee-959b-dfd244be19b5					Neville Potter
2	dataset/jazz1350/502 Blues.xml	502 Blues	502 Blues [jazz1350]	jazz1350	Jimmy Rowles	1962.0	1962.0	A minor	A	minor	AA	32.0	3/4	0.0	Waltz	cff33fd3-7be2-3559-b06a-1d5cee201939					
3	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	52nd Street Theme [jazz1350]	jazz1350	Thelonious Monk	1944.0	1944.0	C major	C	major	AABA	32.0	4/4	0.0	Up Tempo Swing	aaa19faf-298a-3e89-9599-6a30866cd7fd					
4	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	jazz1350	Earle Warren	1941.0	1941.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	67755649-b89e-409c-ad6b-488f4cd455a5	Q16824165		https://en.wikipedia.org/wiki/9:20_Special	1941 song	William Engvick
4	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	jazz1350	Jack Palmer	1941.0	1941.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	67755649-b89e-409c-ad6b-488f4cd455a5	Q16824165		https://en.wikipedia.org/wiki/9:20_Special	1941 song	William Engvick
4	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	jazz1350	William Engvick	1941.0	1941.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	67755649-b89e-409c-ad6b-488f4cd455a5	Q16824165		https://en.wikipedia.org/wiki/9:20_Special	1941 song	William Engvick
5	dataset/jazz1350/A Ballad.xml	A Ballad	A Ballad [jazz1350]	jazz1350	Gerry Mulligan	1956.0	1956.0	C major	C	major	AABA	43.0	4/4	0.0	Slow Swing	416b488c-31fc-4440-8c10-e248a25ff90c					
6	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	A Beautiful Friendship [jazz1350]	jazz1350	Donald Kahn			C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	717389db-318b-3807-9257-6d13190d90dd					Stanley Styne
7	dataset/jazz1350/A Blossom Fell.xml	A Blossom Fell	A Blossom Fell [jazz1350]	jazz1350	Dominic John	1954.0	1954.0	Bb major	Bb	major	AB	20.0	4/4	-2.0	Ballad	f869a3b0-fb58-342e-9f23-ac68663d4584					
7	dataset/jazz1350/A Blossom Fell.xml	A Blossom Fell	A Blossom Fell [jazz1350]	jazz1350	Harold Cornelius	1954.0	1954.0	Bb major	Bb	major	AB	20.0	4/4	-2.0	Ballad	f869a3b0-fb58-342e-9f23-ac68663d4584					
7	dataset/jazz1350/A Blossom Fell.xml	A Blossom Fell	A Blossom Fell [jazz1350]	jazz1350	Howard Barnes	1954.0	1954.0	Bb major	Bb	major	AB	20.0	4/4	-2.0	Ballad	f869a3b0-fb58-342e-9f23-ac68663d4584					
8	dataset/jazz1350/A Certain Smile.xml	A Certain Smile	A Certain Smile [jazz1350]	jazz1350	Sammy Fain			F major	F	major	ABAC	32.0	4/4	-1.0	Medium Swing	432bb07e-afe6-46f0-9edf-7ea60e8854ad	Q4655791		https://en.wikipedia.org/wiki/A_Certain_Smile_(song)	1958 song performed by Johnny Mathis	Paul Francis Webster
9	dataset/jazz1350/A Child Is Born.xml	A Child Is Born	A Child Is Born [jazz1350]	jazz1350	Thad Jones	1969.0	1969.0	Bb major	Bb	major	AB	30.0	3/4	-2.0	Waltz	11529313-8411-4c12-849e-b75881232d5e	Q19571261		https://en.wikipedia.org/wiki/A_Child_Is_Born_(jazz_standard)	cantar espublizáu en 1969	Alec Wilder
10	dataset/jazz1350/A Felicidade.xml	A Felicidade	A Felicidade [jazz1350]	jazz1350	Antônio Carlos Jobim	1958.0	1958.0	A minor	A	minor	AABCD	56.0	4/4	0.0	Bossa Nova	cd057a9a-d314-3199-bd7b-9e63f31f8083	Q30326624	mc0002474962	https://en.wikipedia.org/wiki/A_felicidade	"original film song composed by Antônio Carlos Jobim, lyrics by Vinícius de Moraes; from the 1959 film ""Black Orpheus"""	Vinicius de Moraes
10	dataset/jazz1350/A Felicidade.xml	A Felicidade	A Felicidade [jazz1350]	jazz1350	Vinicius de Moraes	1958.0	1958.0	A minor	A	minor	AABCD	56.0	4/4	0.0	Bossa Nova	cd057a9a-d314-3199-bd7b-9e63f31f8083	Q30326624	mc0002474962	https://en.wikipedia.org/wiki/A_felicidade	"original film song composed by Antônio Carlos Jobim, lyrics by Vinícius de Moraes; from the 1959 film ""Black Orpheus"""	Vinicius de Moraes
