id	file_name	title	title_playlist	tune_mode	year	tune_id	section_name	section_id	chords
0	dataset/jazz1350/26-2.xml	26-2	26-2 [jazz1350]	major		0	A	1	C Eb7 Ab B7 E G7 Gm C7 F Ab7 C# E7 Am D7 Dm G7
1	dataset/jazz1350/26-2.xml	26-2	26-2 [jazz1350]	major		0	A	2	C Eb7 Ab B7 E G7 Gm C7 F Eb7 Ab B7 E G7 C
2	dataset/jazz1350/26-2.xml	26-2	26-2 [jazz1350]	major		0	B	3	Gm C7 Bm E7 A C7 F Bbm Eb7 Ab Dm G7
3	dataset/jazz1350/26-2.xml	26-2	26-2 [jazz1350]	major		0	A	4	C Eb7 Ab B7 E G7 Gm C7 F Eb7 Ab B7 E G7 C
4	dataset/jazz1350/500 Miles High.xml	500 Miles High	500 Miles High [jazz1350]	minor		1	A	1	Am Am Cm Cm Eb Eb Em7b5 A7 Dm Dm Bm7b5 Bm7b5 Bbm Bbm Fm Fm E7 E7 Fm Fm C# C# Fm Fm C# C#
5	dataset/jazz1350/502 Blues.xml	502 Blues	502 Blues [jazz1350]	minor		2	A	1	Am C# Bm7b5 E7 Am C# Bm7b5 E7 Cm F7 Bb Abm C#7 F#m7b5 B7 E E E7
6	dataset/jazz1350/502 Blues.xml	502 Blues	502 Blues [jazz1350]	minor		2	A	2	Am C# Bm7b5 E7 Am C# Bm7b5 E7 Cm F7 Bb Abm C#7 F#m7b5 B7 Em Em
7	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	52nd Street Theme [jazz1350]	major		3	A	1	C Am Dm G7 C Am Dm G7 C Am Dm G7 C G7 C
8	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	52nd Street Theme [jazz1350]	major		3	A	2	C Am Dm G7 C Am Dm G7 C Am Dm G7 C G7 C
9	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	52nd Street Theme [jazz1350]	major		3	B	3	C7 C7 F F D7 D7 G7 G7
10	dataset/jazz1350/52nd Street Theme.xml	52nd Street Theme	52nd Street Theme [jazz1350]	major		3	A	4	C Am Dm G7 C Am Dm G7 C Am Dm G7 C G7 C
11	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	major		4	A	1	C7 Ebm C7 Ebm Bb Bb7 A7 Ab7 G7 C7 F#dim C7 Ab7 G7
12	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	major		4	A	2	C7 Ebm C7 Ebm Bb Bb7 A7 Ab7 G7 C7 F#dim C7 F7 Bb
13	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	major		4	B	3	Bb Eb Eb Eb Eb G7 F F F7 F7
14	dataset/jazz1350/9.20 Special.xml	9.20 Special	9.20 Special [jazz1350]	major		4	A	4	C7 Ebm C7 Ebm Bb Bb7 A7 Ab7 G7 C7 F#dim C F7 Bb D7
15	dataset/jazz1350/A Ballad.xml	A Ballad	A Ballad [jazz1350]	major		5	A	1	Dm G7 C C#m F#7 B Em A7 Gm7b5 F#m B7 Em A7 F#m B7 Em Gm F#m Fdim Em A7
16	dataset/jazz1350/A Ballad.xml	A Ballad	A Ballad [jazz1350]	major		5	A	2	Dm G7 C C#m F#7 B Em A7 Gm7b5 F#m B7 Dm G7 Em A7 Dm Fm Em Ebdim Dm G7 C
17	dataset/jazz1350/A Ballad.xml	A Ballad	A Ballad [jazz1350]	major		5	B	3	Fm Bb7 Gm F#dim Fm Bb7 Eb Ebm Ab7 C# Em Ebm Ab7 C# Em A7
18	dataset/jazz1350/A Ballad.xml	A Ballad	A Ballad [jazz1350]	major		5	A	4	Dm G7 C C#m F#7 B Em A7 Gm7b5 F#m B7 Em A7 F#m B7 Em Gm F#m Fdim Em A7 D
19	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	A Beautiful Friendship [jazz1350]	major		6	A	1	C F#7 F Em7b5 A7 Am D7 Dm G7
20	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	A Beautiful Friendship [jazz1350]	major		6	A	2	C F#7 F Em7b5 A7 Am D7 Dm G7
21	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	A Beautiful Friendship [jazz1350]	major		6	B	3	Gm C7 F Bb7 Em A7 D7 G7
22	dataset/jazz1350/A Beautiful Friendship.xml	A Beautiful Friendship	A Beautiful Friendship [jazz1350]	major		6	A	4	C F#7 F Em7b5 A7 Dm G7 C A7 D7 G7
